id|asset_id|data|
550|612|{"DENSITY": 1805.79, "REPLCOST": 45101084.29, "ZIP_CODE": 82071.0, "GROSSAREA": 179777.0, "YEARBUILT": 1968.0, "FLOORCOUNT": 6, "USABLEAREA": 155298.0, "Y_LATITUDE": 41.31361359, "Shape__Area": 3128.232819, "X_LONGITUDE": -105.5836371, "CONDITIONKEY": 1, "PERCENTUSABLE": 72.48, "Shape__Length": 238.7262982, "IMPROVEMENT_USE": "Classroom/Office/Laboratory", "PERCENTASSIGNABLE": 45.48, "IMPROVEMENT_ACQUIRED": 0}
551|613|{"DENSITY": 3160.1, "REPLCOST": 7114365.94, "ZIP_CODE": 82071.0, "GROSSAREA": 34089.0, "YEARBUILT": 1887.0, "FLOORCOUNT": 4, "USABLEAREA": 28440.89, "Y_LATITUDE": 41.3123392, "Shape__Area": 791.4671173, "X_LONGITUDE": -105.5839912, "CONDITIONKEY": 0, "PERCENTUSABLE": 47.41, "Shape__Length": 147.9389819, "IMPROVEMENT_USE": "Office", "YEARS_REMODELED": "1938, 1949", "PERCENTASSIGNABLE": 37.36, "IMPROVEMENT_ACQUIRED": 0}
552|614|{"DENSITY": 4927.0, "REPLCOST": 3014021.04, "ZIP_CODE": 82071.0, "GROSSAREA": 2133.0, "YEARBUILT": 1908.0, "FLOORCOUNT": 4, "USABLEAREA": 14781.0, "Y_LATITUDE": 41.31232164, "Shape__Area": 389.3124695, "X_LONGITUDE": -105.5829307, "CONDITIONKEY": 0, "PERCENTUSABLE": 82.27, "Shape__Length": 94.47311947, "IMPROVEMENT_USE": "Office", "YEARS_REMODELED": "1941, 2016", "PERCENTASSIGNABLE": 62.59, "IMPROVEMENT_ACQUIRED": 0}
553|615|{"DENSITY": 599.35, "REPLCOST": 4668974.62, "ZIP_CODE": 82071.0, "GROSSAREA": 17651.0, "YEARBUILT": 1928.0, "FLOORCOUNT": 3, "USABLEAREA": 22176.0, "Y_LATITUDE": 41.31400776, "Shape__Area": 905.4211273, "X_LONGITUDE": -105.5786424, "CONDITIONKEY": 0, "PERCENTUSABLE": 58.71, "Shape__Length": 190.6666886, "IMPROVEMENT_USE": "Office", "YEARS_REMODELED": "1966", "PERCENTASSIGNABLE": 42.59, "IMPROVEMENT_ACQUIRED": 0}
554|616|{"DENSITY": 0.0, "REPLCOST": 16836232.12, "ZIP_CODE": 82071.0, "GROSSAREA": 26625.0, "YEARBUILT": 1941.0, "FLOORCOUNT": 5, "USABLEAREA": 68410.08, "Y_LATITUDE": 41.31178847, "Shape__Area": 2647.792938, "X_LONGITUDE": -105.5811904, "CONDITIONKEY": 1, "PERCENTUSABLE": 81.34, "Shape__Length": 352.9752982, "BLDG_ADDITIONS": "1950", "IMPROVEMENT_USE": "Office", "YEARS_REMODELED": "1946, 1993", "PERCENTASSIGNABLE": 57.12, "IMPROVEMENT_ACQUIRED": 0}
555|617|{"DENSITY": 0.0, "REPLCOST": 27326365.57, "ZIP_CODE": 82071.0, "GROSSAREA": 86664.0, "YEARBUILT": 2009.0, "FLOORCOUNT": 4, "USABLEAREA": 78684.0, "Y_LATITUDE": 41.31125709, "Shape__Area": 2708.033813, "X_LONGITUDE": -105.5735409, "CONDITIONKEY": 0, "PERCENTUSABLE": 86.0, "Shape__Length": 263.5697067, "IMPROVEMENT_USE": "Telecommunications", "PERCENTASSIGNABLE": 58.76, "IMPROVEMENT_ACQUIRED": 0}
556|618|{"DENSITY": 0.0, "REPLCOST": 15809711.63, "ZIP_CODE": 82071.0, "GROSSAREA": 88759.0, "YEARBUILT": 2007.0, "FLOORCOUNT": 1, "USABLEAREA": 74309.0, "Y_LATITUDE": 41.31266788, "Shape__Area": 8152.130692, "X_LONGITUDE": -105.5661164, "CONDITIONKEY": 0, "PERCENTUSABLE": 27.48, "Shape__Length": 538.6142335, "IMPROVEMENT_USE": "Athletics Facilities", "PERCENTASSIGNABLE": 25.67, "IMPROVEMENT_ACQUIRED": 0}
557|619|{"DENSITY": 0.0, "REPLCOST": 7980684.64, "ZIP_CODE": 82071.0, "GROSSAREA": 81671.0, "YEARBUILT": 1916.0, "FLOORCOUNT": 4, "USABLEAREA": 26369.0, "Y_LATITUDE": 41.31179635, "Shape__Area": 723.6458588, "X_LONGITUDE": -105.5818814, "CONDITIONKEY": 0, "PERCENTUSABLE": 87.08, "Shape__Length": 157.2537345, "BLDG_ADDITIONS": "1922", "IMPROVEMENT_USE": "Classroom/Office", "YEARS_REMODELED": "1966, 2017", "PERCENTASSIGNABLE": 62.78, "IMPROVEMENT_ACQUIRED": 0}
558|620|{"DENSITY": 0.0, "REPLCOST": 43645000.0, "ZIP_CODE": 82071.0, "GROSSAREA": 97683.0, "YEARBUILT": 2016.0, "FLOORCOUNT": 2, "USABLEAREA": 83132.0, "Y_LATITUDE": 41.316923, "Shape__Area": 4990.16362, "X_LONGITUDE": -105.570485, "CONDITIONKEY": 0, "PERCENTUSABLE": 55.11, "Shape__Length": 457.8939472, "IMPROVEMENT_USE": "Classroom/Office", "PERCENTASSIGNABLE": 35.02, "IMPROVEMENT_ACQUIRED": 0}
559|621|{"DENSITY": 1058.5, "REPLCOST": 26814727.41, "ZIP_CODE": 82071.0, "GROSSAREA": 124348.0, "YEARBUILT": 1914.0, "FLOORCOUNT": 5, "USABLEAREA": 112201.0, "Y_LATITUDE": 41.313972, "Shape__Area": 2804.864594, "X_LONGITUDE": -105.584541, "CONDITIONKEY": 1, "PERCENTUSABLE": 83.21, "Shape__Length": 342.763486, "BLDG_ADDITIONS": "1969, 2005", "IMPROVEMENT_USE": "Classroom/Office", "YEARS_REMODELED": "2005", "PERCENTASSIGNABLE": 53.77, "IMPROVEMENT_ACQUIRED": 0}
